ID,Country,Name,Longitude,Latitude,Designation,Legal/Formal Instrument,Designation Type,Date Established,Domain,Status,Reported Area_ha,Reported Marine Area_ha,Management Plan,IUCN Management Categories,International Convention,State/Province/District,Management Effectiveness Model,Management Effectiveness Rating,Zonation,No Take,Reported No Take Area (ha),Source
4029600,Philippines,Quaming Island Marine Protected Area,120.048592,11.940082,Marine Protected Area - Local,,Local,1/1/2000,Marine,Designated,14.3,0,Unknown,VI,No,Palawan,Unknown,Unknown,Unknown,Unknown,0,CCEF
4053700,Philippines,Ranzo Fish Sanctuary,121.495333,13.044944,Fish Sanctuary - Local,,Local,1/1/2004,Marine,Designated,10,0,Draft,Unknown,No,Oriental Mindoro,MEAT,Established,Unknown,All,10,CCEF
4034500,Philippines,Rasa Island WIldlife Sanctuary,118.437519,9.230364,WIldlife Sanctuary - NIPAS,"Proclamation No 1000, and Republic Act 7586 otherwise known as ôNIPAS Act of 1992ö",National,1/12/2007,Marine,Designated,1983,0,Unknown,Unknown,No,Palawan,Unknown,Unknown,No,All,0,PAWB
4015100,Philippines,Roseller T. Lim Marine Protected Area,122.492833,7.636806,Marine Protected Area - Local,,Local,1/1/2006,Marine,Designated,118,0,Yes,Unknown,No,Zamboanga Sibugay,MEAT,Strenghtened,Unknown,Unknown,0,CCEF
4002500,Philippines,Saavedra Fish Sanctuary,123.377194,9.999056,Fish Sanctuary - Local,,Local,1/1/1994,Marine,Designated,8.13,0,Yes,VI,No,Cebu,MEAT,Sustained,Unknown,All,8.13,CCEF
4053800,Philippines,Sabang Fish Sanctuary,125.254342,10.384364,Fish Sanctuary - Local,,Local,1/1/2000,Marine,Designated,21,0,Yes,Unknown,No,Southern Leyte,MEAT,Sustained,Unknown,All,21,CCEF
4061500,Philippines,Sag Fish Sanctuary,124.34622,10.20958,Fish Sanctuary - Local,,Local,1/1/2004,Marine,Designated,36,0,Unknown,Unknown,No,Bohol,Unknown,Unknown,Unknown,All,36,MSN-MSI
4031300,Philippines,Sagasa Island Marine Sanctuary,124.426611,10.208351,Marine Sanctuary - Local,Mun. Ord. No. 02 Series 2002,Local,1/1/2002,Marine,Designated,15,0,Yes,Unknown,No,Bohol,MEAT,Established,Unknown,All,15,CCEF
4034100,Philippines,Sagay Protected Seascape,123.4916,11.015126,Protected Seascape - NIPAS,"Proc 592 (1995), RA 9106 and Republic Act 7586 otherwise known as ôNIPAS Act of 1992ö",National,4/14/2001,Marine,Designated,32000,0,Unknown,V,No,Negros Occidental,MEAT,Strenghtened,No,Unknown,0,WDPA
4030600,Philippines,Saguise (Sidlakan) Marine Protected Area,124.597867,10.121517,Marine Protected Area - Local,Mun. Ord. No. 06 Series 2000; Mun. Ord. No. 09-041 Series 2004,Local,1/1/2004,Marine,Designated,21.43,0,Yes,Unknown,No,Bohol,MEAT,Sustained,Unknown,Unknown,0,CCEF
4053900,Philippines,Saguise(Bantigian) Marine Protected Areas,124.582583,10.149233,Marine Protected Area - Local,,Local,1/1/2004,Marine,Designated,10.8,0,Yes,Unknown,No,Bohol,MEAT,Sustained,Unknown,Unknown,0,CCEF
4054000,Philippines,Salag Marine Reserve,123.026976,9.04374,Marine Reserve - Local,,Local,1/1/2001,Marine,Designated,10,0,Unknown,Unknown,No,Negros Oriental,Unknown,Unknown,Unknown,Unknown,0,CCEF
4054100,Philippines,San Alonzo Marine Sanctuary,124.850797,9.007558,Marine Sanctuary - Local,,Local,1/1/2002,Marine,Designated,3,0,Yes,Unknown,No,Misamis Oriental,MEAT,Established,Unknown,All,3,CCEF
4061600,Philippines,San Antonio Fish Sanctuary & Marine Reserve,124.9821,10.29591,Marine Reserve - Local,,Local,1/1/1996,Marine,Designated,0,0,Unknown,Unknown,No,Southern Leyte,Unknown,Unknown,Unknown,Unknown,0,MSN-MSI
4054200,Philippines,San Antonio Marine Sanctuary,124.407515,9.703512,Marine Sanctuary - Local,Mun. Ord. No. 02 Series 2002,Local,1/1/1999,Marine,Designated,2.82,0,Yes,Unknown,No,Bohol,MEAT,Sustained,Unknown,All,2.82,CCEF
4032700,Philippines,San Francisco Fish Sanctuary,124.319343,10.172877,Fish Sanctuary - Local,Mun. Ord. No. 15 Series 1996,Local,1/1/1996,Marine,Designated,7.8,0,Unknown,Unknown,No,Bohol,Unknown,Unknown,Unknown,All,7.8,CCEF
4054300,Philippines,San Isidro Marine Sanctuary,125.175693,8.972306,Marine Sanctuary - Local,,Local,1/1/2000,Marine,Designated,21,0,Draft,Unknown,No,Misamis Oriental,MEAT,Strenghtened,Unknown,All,21,CCEF
4020100,Philippines,San Isidro Marine Sanctuary,123.875356,9.935311,Marine Sanctuary - Local,,Local,1/1/2003,Marine,Designated,51.56,0,Draft,VI,No,Bohol,MEAT,Strenghtened,Unknown,All,51.56,CCEF
4022200,Philippines,San Jose Marine Reserve,123.226889,10.012778,Marine Reserve - Local,,Local,1/1/1995,Marine,Designated,10,0,Draft,Unknown,No,Negros Oriental,Unknown,Unknown,Unknown,Unknown,0,CCEF
4061700,Philippines,San Juan (Pagpisotan) Fish Sanctuary,126.379444,8.427778,Fish Sanctuary - Local,,Local,1/1/1997,Marine,Designated,0,0,Unknown,Unknown,No,Surigao del Sur,Unknown,Unknown,Unknown,All,0,MSN-MSI
4061800,Philippines,San Miguel Fish Sanctuary,124.73657,11.71917,Fish Sanctuary - Local,,Local,1/1/1991,Marine,Designated,0,0,Unknown,Unknown,No,Samar,Unknown,Unknown,Unknown,All,0,MSN-MSI
